product_id,product_name,category,supplier,stock_quantity,reorder_level,unit_price,unit_cost,lead_time_days,date_added,last_restocked_date
P1000,Wireless Mouse,Electronics,Northline Traders,60.0,16.0,3621.05,2852.22,4,2025-03-12,02/07/2026
P1001,USB-C Cable,Electronics,Prime Wholesale,0.0,10.0,1741.76,1025.89,4,2025-06-08,13/03/2026
P1002,Bluetooth Speaker,Electronics,Northline Traders,60.0,9.0,7849.11,5496.56,7,2025-07-14,26/08/2026
P1003,Laptop Stand,Electronics,Northline Traders,8.0,5.0,8741.22,6626.81,5,2025-04-02,26/04/2026
P1004,Mechanical Keyboard,Electronics,Apex Distributors,40.0,9.0,1977.28,1237.9,3,2024-10-24,18/05/2026
P1005,Webcam HD,Electronics,Prime Wholesale,3.0,5.0,2904.57,2041.81,6,2024-10-02,
P1006,Power Bank 10000mAh,Electronics,Apex Distributors,90.0,17.0,3550.71,2357.73,3,2024-12-26,07/06/2026
P1007,Smart Watch,Electronics,Metro Logistics,0.0,10.0,4822.42,3366.55,6,2025-04-11,08/06/2026
P1008,Noise Cancelling Headphones,Electronics,,,5.0,0.0,3333.48,4,2025-01-17,09/08/2026
P1009,HDMI Adapter,Electronics,Sunrise Vendors,-7.0,5.0,8704.44,6546.6,3,2024-09-24,27/06/2026
P1010,External SSD 1TB,Electronics,apex distributors,3.0,5.0,,4147.94,5,2024-10-29,02/08/2026
P1011,Router Dual Band,Electronics,Unity Merchants,15.0,5.0,695.74,540.82,7,2024-10-21,19/06/2026
P1012,Basmati Rice 5kg,Groceries,Sunrise Vendors,-8.0,7.0,321.84,218.86,2,2025-06-25,22/08/2026
P1013,Sunflower Oil 1L,Groceries,prime wholesale,1287.0,39.0,874.45,650.4,5,2025-06-20,05/07/2026
P1014,Green Tea Box,Groceries,Northline Traders,3.0,5.0,562.24,438.81,7,2025-03-10,09/05/2026
P1015,Almonds 500g,GROCERIES,Sunrise Vendors,25.0,,97.99,61.86,2,2025-01-22,04/06/2026
P1016,Whole Wheat Flour 5kg,Groceries,prime wholesale,15.0,5.0,0.0,483.32,5,2025-06-24,31/03/2026
P1017,Organic Honey 250g,Groceries,Global Supply Co.,3.0,5.0,178.38,133.88,7,2025-05-08,07/05/2026
P1018,Instant Coffee Jar,Groceries,Unity Merchants,0.0,10.0,708.69,424.99,9,2024-10-18,08/07/2026
P1019,Peanut Butter 400g,Groceries,Sunrise Vendors,60.0,18.0,744.99,541.39,1,2025-04-04,25/08/2026
P1020,Mixed Spices Pack,GROCERIES,Sunrise Vendors,3.0,5.0,Rs.122.2,78.16,4,2025-03-15,17/08/2026
P1021,Brown Sugar 1kg,Groceries,Prime Wholesale,3.0,5.0,583.57,369.24,5,2025-04-13,19/03/2026
P1022,Office Chair,Furniture,BlueLeaf Sourcing,40.0,13.0,9141.81,6695.48,7,2024-12-08,28/07/2026
P1023,Study Table,Furniture,Metro Logistics,60.0,18.0,,7305.01,6,2025-03-26,12/04/2026
P1024,Bookshelf 5-Tier,Furniture,Metro Logistics,25.0,6.0,14690.01,10910.88,8,2024-10-05,23/05/2026
P1025,Bean Bag,Furniture,Sunrise Vendors,3.0,5.0,11547.21,6424.35,2,2025-05-21,25/04/2026
P1026,Bed Side Table,Furniture,BlueLeaf Sourcing,40.0,13.0,16455.64,10343.83,4,2025-07-06,05/08/2026
P1027,Wardrobe 3-Door,Furniture,Global Supply Co.,-7.0,11.0,7358.37,4802.04,7,2024-12-26,03/04/2026
P1028,Recliner Sofa,Furniture,Northline Traders,8.0,5.0,3309.03,2059.67,7,2025-01-16,03/04/2026
P1029,Dining Table Set,Furniture,BlueLeaf Sourcing,120.0,37.0,20490.83,14514.7,6,2024-10-20,31/08/2026
P1030,Cotton T-Shirt,Apparel,,40.0,12.0,856.35,662.08,6,2025-02-06,05/08/2026
P1031,Denim Jeans,Apparel,Metro Logistics,3.0,5.0,Rs.3162.3,1990.67,8,2025-05-11,
P1032,Formal Shirt,Apparel,Apex Distributors,120.0,18.0,1638.1,1235.95,4,2024-11-16,19/07/2026
P1033,  Running Shoes  ,Apparel,Northline Traders,-4.0,5.0,1909.93,1249.77,6,2024-11-13,31/03/2026
P1034,Winter Jacket,Apparel,Prime Wholesale,15.0,5.0,1347.25,1058.57,4,2025-01-20,23/07/2026
P1035,Woolen Socks Pack,Apparel,Apex Distributors,180.0,61.0,2534.81,1624.58,4,2024-11-22,29/08/2026
P1036,Leather Belt,Apparel,Northline Traders,15.0,5.0,Rs.1068.29,720.36,6,2025-02-23,03/07/2026
P1037,Sports Cap,Apparel,Apex Distributors,40.0,6.0,369.88,259.8,3,2024-10-13,13/08/2026
P1038,A4 Paper Ream,Stationery,Northline Traders,429.0,5.0,216.69,168.38,7,2025-06-25,19/04/2026
